word,level,locked,verdict,ear_notes,round,listen_context,voice,lang,speed,lead_ms,tail_ms,fade_ms,phoneme,period,onset_trim,trim_ms,bright_head_ms,head_trim_ms,skip_burst,carrier_text,carrier_cut_mode,energy_margin_ms,energy_floor_db,energy_gap_ms,asr_start_s,asr_end_s,asr_guard_lead_ms,asr_guard_tail_ms,byte_pin_sha256
am,1,yes,accepted,spelling read it as the letter M; explicit pronunciation and 150 ms lead,"phoneme + lead rebuild, 2026-07-27",clip,af_heart,en-us,0.85,150,300,10,æm,no,no,0,0,0,no,,none,,,,,,,,
an,1,yes,accepted,same fault and fix as am,"phoneme + lead rebuild, 2026-07-27",clip,af_heart,en-us,0.85,150,300,10,æn,no,no,0,0,0,no,,none,,,,,,,,
at,1,yes,accepted,,"phoneme rebuild, 2026-07-27",clip,af_heart,en-us,0.85,80,300,10,æt,no,no,0,0,0,no,,none,,,,,,,,
ax,1,yes,accepted,,"phoneme rebuild, 2026-07-27",clip,af_heart,en-us,0.85,80,300,10,æks,no,no,0,0,0,no,,none,,,,,,,,
if,1,yes,accepted,,"phoneme rebuild, 2026-07-27",clip,af_heart,en-us,0.85,80,300,10,ɪf,no,no,0,0,0,no,,none,,,,,,,,
in,1,yes,accepted,,"phoneme rebuild, 2026-07-27",clip,af_heart,en-us,0.85,80,300,10,ɪn,no,no,0,0,0,no,,none,,,,,,,,
is,1,yes,accepted,,"phoneme rebuild, 2026-07-27",clip,af_heart,en-us,0.85,80,300,10,ɪz,no,no,0,0,0,no,,none,,,,,,,,
it,1,yes,accepted,,"phoneme rebuild, 2026-07-27",clip,af_heart,en-us,0.85,80,300,10,ɪt,no,no,0,0,0,no,,none,,,,,,,,
on,1,yes,accepted,,"phoneme rebuild, 2026-07-27",clip,af_heart,en-us,0.85,80,300,10,ɑn,no,no,0,0,0,no,,none,,,,,,,,
ox,1,yes,accepted,,"phoneme rebuild, 2026-07-27",clip,af_heart,en-us,0.85,80,300,10,ɑks,no,no,0,0,0,no,,none,,,,,,,,
up,1,yes,accepted,,"phoneme rebuild, 2026-07-27",clip,af_heart,en-us,0.85,80,300,10,ʌp,no,no,0,0,0,no,,none,,,,,,,,
us,1,yes,accepted,,"phoneme rebuild, 2026-07-27",clip,af_heart,en-us,0.85,80,300,10,ʌs,no,no,0,0,0,no,,none,,,,,,,,
